MES Solutions,81,MES Solutions,,,230 S Broad Street,Suite 501,Philadelphia,PA,19102,,(215)985-2072,
Mutual Benefit Group,82,Mutual Benefit Group,,,P.O. Box 577,,Huntingdon,PA,16652,,(800)791-4255,
NJM,83,NJM,,,Attn: Wc Underwriting Dept.,301 Sullivan Way,West Trenton,NJ,8628,,(609)493-1440,
One Call,84,One Call,,,P.O. Box 7928,,Elk Grove Village,IL,60009-7928,(866) 389-0211,(904)309-8942,
Onsite Physio,85,Onsite Physio,,,8659 Baypine Rd,Suite 304,Jacksonville,FL,32256,,(866)908-4797,
Onsite Physio (Six Flags),86,Onsite Physio (Six Flags),,,,,,,,,,
Orchid Medical,87,Orchid Medical,,,P.O. Box 560370,,Orlando,FL,32856,,(407)893-7363,
OWCP/DFEC,88,OWCP/DFEC,,,P.O. Box 34090,,San Antonio,TX,78265,,,
PMA,89,PMA,,,P.O. Box 5231,,Janesville,WI,53547,,(804)967-5694,
Ports America,90,Ports America,,,55 N. Ariozna Place,Suite 400,Chandler,AZ,85225,,(480)499-3111,
Property & Casualty Insurance,91,Property & Casualty Insurance,,,305 Washington Avenue,Suite 600,Towson,MD,21204,,,
RCM&D/SISCO,92,RCM&D/SISCO,,,P.O. Box 42737,,Towson,MD,21284,,,
"Reidgoodwin, PLC",93,"Reidgoodwin, PLC",,,4116 Fitzhugh Avenue,,Richmond,VA,23230,,(804)415-7560,
Retail Business Services,94,Retail Business Services,,,P.O. Box 122000,,Lithia Springs,GA,30122,,(770)689-5231,
Rockwood Casualty,95,Rockwood Casualty,,,654 Main Street,,Rockwood,PA,15557,,,
"Sage Adjusting, Llc",96,"Sage Adjusting, Llc",,,100 Century Parkway,Suite 300,Mount Laurel,NJ,08054,,,
Sedgwick CMS,97,Sedgwick CMS,,,P.O. Box 14491,,Lexington,KY,40512,,,
Selective Insurance,98,Selective Insurance,,,P.O. Box 7252,,London,KY,40742,,(877)233-1353,
Self Pay,99,Self Pay,,,,,,,,,,
Sentry,100,Sentry,,,P.O. Box 8032,,Stevens Point,WI,54481,,(800)999-4642,
Sibley Memorial Hospital,101,Sibley Memorial Hospital,,,Occupational Health & Safety,"5255 Loughboro Road, Nw",Washington,DC,20016,,(202)537-4442,
Signal Mutual,102,Signal Mutual,,,P.O. Box 652740,,Cincinnati,OH,45262,,,
SPNET,103,SPNET,,,P.O. Box 14811,,Lexington,KY,40512,,,
State Auto Insurance,104,State Auto Insurance,,,P.O. Box 390327,,Minneapolis,MN,55439,,(952)893-3700,
Superior Paving,105,Superior Paving,,,5551 Wellington Road,,Gainesville,VA,20155,,,
The Hartford,106,The Hartford,,,P.O. Box 14170,,Lexington,KY,40512,,(888)459-1618,
Travelers,107,Travelers,,,P.O. Box 4614,,Buffalo,NY,14240,,,
Tristar Risk Management,108,Tristar Risk Management,,,P.O. Box 2805,,Clinton,IA,52733,,(215)592-5067,
TW Perry,109,TW Perry,,,8101 Snouffer School Road,,Gaithersburg,MD,20879,,,
United Healthcare,110,United Healthcare,,,P.O. Box 30555,,Salt Lake City,UT,84130,,,
United Heartland,111,United Heartland,,,P.O. Box 40790,,Lansing,MI,48901,,(855)570-1015,
USAA - Auto Injury Solutions,112,USAA - Auto Injury Solutions,,,P.O. Box 5000,,Daphne,AL,36526,,(888)272-1255,
Utica National Insurance,113,Utica National Insurance,,,P.O. Box 6584,,Scranton,PA,18505,,,
VACorp,114,VACorp,,,1819 Electric Road,Suite C,Roanoke,VA,24018,,,
Vanliner Insurance,115,Vanliner Insurance,,,P.O. Box 26352,,Fenton,MO,63026,,(855)472-1291,
Virginia Risk Sharing Association,116,Virginia Risk Sharing Association,,,P.O. Box 3239,,Glen Allen,VA,23058,,(804)273-0560,
Zurich,117,Zurich,,,P.O. Box 968084,,Schaumburg,IL,60196,,,
Not Applicable,118,Not Applicable,,Not Applicable,Not Applicable,,Not Applicable,,,Not Applicable,Not Applicable,Not Applicable
Billed Party,119,Billed Party,,Company,Street 1,Str 2,City,State,Zip Code,9999999999,1111111111,test@company.com
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
,0,,,,,,,,,,,
